Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Name
2018-07-24,70.88505222724355,71.53368449173492,70.78824265414136,71.09803771972656,1025300,0.0,0.0,AME
2018-07-25,71.03025579039388,73.02456065664683,70.94312202210855,72.9180679321289,1580300,0.0,0.0,AME
2018-07-26,72.77287312277869,74.68005221521047,72.77287312277869,74.64132690429688,1446900,0.0,0.0,AME
2018-07-27,74.73812153286067,74.97047335184683,73.97332080017772,74.39928436279297,948100,0.0,0.0,AME
2018-07-30,74.486423828477,75.26090779260701,73.45054589455422,73.6441650390625,2009100,0.0,0.0,AME
2018-07-31,73.98298803199516,75.52228726388503,72.8212586157766,75.31898498535156,1946300,0.0,0.0,AME
2018-08-01,75.36740723298277,75.40613254254387,74.05077625229568,74.37025451660156,2060000,0.0,0.0,AME
2018-08-02,73.98301049032563,74.70909344239631,73.63449008244388,74.31217193603516,1225500,0.0,0.0,AME
2018-08-03,74.39929701604231,74.65100783637148,73.51832022403664,74.12822723388672,1013400,0.0,0.0,AME
2018-08-06,74.2928122977865,74.35090396174536,73.68290522195636,73.8862075805664,794900,0.0,0.0,AME
2018-08-07,74.13790601169839,75.1253755004395,74.12822283831056,75.01888275146484,1075500,0.0,0.0,AME
2018-08-08,75.04792841003888,75.08665371931171,74.56387312327467,74.70909118652344,724400,0.0,0.0,AME
2018-08-09,74.78653657252502,75.0769726787018,74.04109473294695,74.2153549194336,1295100,0.0,0.0,AME
2018-08-10,73.77969090441755,73.8861836367169,73.16010085436469,73.46021270751953,1453000,0.0,0.0,AME
2018-08-13,73.57639982139595,74.02172977608853,72.86967588901823,73.24724578857422,1313400,0.0,0.0,AME
2018-08-14,73.373110875898,73.71194814384718,73.17948430414242,73.40215301513672,990500,0.0,0.0,AME
2018-08-15,72.88904438170381,73.08266353775862,72.12423615892182,72.7051010131836,1165200,0.0,0.0,AME
2018-08-16,73.08265823707067,73.77001579313773,72.87935592212943,73.31501007080078,876700,0.0,0.0,AME
2018-08-17,73.31501213801262,74.03141184697157,73.10202664413636,73.87651062011719,1422600,0.0,0.0,AME
2018-08-20,73.95396556440953,74.37993657710761,73.86683915877445,74.13790893554688,960200,0.0,0.0,AME
2018-08-21,74.30247465356604,74.6897202983609,74.16693978580228,74.54450225830078,1455800,0.0,0.0,AME
2018-08-22,74.31215597981021,74.40896554207993,73.50862257938901,73.69256591796875,564800,0.0,0.0,AME
2018-08-23,73.69259535920564,73.87653138517429,73.21821575819928,73.4118423461914,867800,0.0,0.0,AME
2018-08-24,73.68289927831361,73.82811734734915,73.2085271464888,73.77970886230469,764300,0.0,0.0,AME
2018-08-27,74.12822039326494,74.9123875315796,74.04109399393973,74.60259246826172,637400,0.0,0.0,AME
2018-08-28,74.92207505327956,75.34804605985221,74.76718120567872,74.8639907836914,751800,0.0,0.0,AME
2018-08-29,75.12536354619047,75.12536354619047,74.5735409284469,74.85429382324219,736800,0.0,0.0,AME
2018-08-30,74.74782058762543,74.90272183319634,73.85716058388637,74.01205444335938,743400,0.0,0.0,AME
2018-08-31,73.78937582420947,74.57354288417446,73.6925662614885,74.50577545166016,852300,0.0,0.0,AME
2018-09-04,74.29279645979368,74.45738085547568,73.50862933145517,74.2734375,1163000,0.0,0.0,AME
2018-09-05,74.12822070777065,75.64815389770024,73.98300265551558,75.51261901855469,1515200,0.0,0.0,AME
2018-09-06,75.63848710778322,76.3742533154371,75.580402828739,75.79338836669922,1306800,0.0,0.0,AME
2018-09-07,75.638479644404,76.20966874767335,75.13506537479687,75.5997543334961,1273400,0.0,0.0,AME
2018-09-10,76.05475959846632,77.1971303001625,75.88049941054328,76.8486099243164,1449100,0.0,0.0,AME
2018-09-11,76.57753091987439,77.65213405135341,76.38391179492703,76.95509338378906,1529300,0.0,0.0,AME
2018-09-12,76.90671478234802,77.35204480881389,76.48074371959879,77.1971435546875,1127400,0.0,0.0,AME
2018-09-13,77.48808850540348,78.41910843784528,77.42020186655112,78.25424194335938,1012800,0.14,0.0,AME
2018-09-14,78.15725411771079,78.72944784021979,77.96329440786053,78.3900146484375,721900,0.0,0.0,AME
2018-09-17,78.42879838184275,78.71004510574502,78.01177839799976,78.35121154785156,839200,0.0,0.0,AME
2018-09-18,78.55488062197445,79.07858071401158,77.96329389203002,79.03978729248047,1230500,0.0,0.0,AME
2018-09-19,79.185256298865,79.185256298865,78.48698954893969,78.51608276367188,1474400,0.0,0.0,AME
2018-09-20,78.86520682691749,79.04947369724897,78.05056731424894,78.92339324951172,940900,0.0,0.0,AME
2018-09-21,79.11737179908206,79.4471047737261,78.80703183508659,79.06887817382812,1507200,0.0,0.0,AME
2018-09-24,78.90400355729282,78.90400355729282,78.01177717761495,78.10875701904297,929500,0.0,0.0,AME
2018-09-25,77.90509467204647,77.97298129881095,77.33290104724234,77.62384796142578,1317900,0.0,0.0,AME
2018-09-26,77.57536336462802,77.83721709766388,76.89649701803178,76.99347686767578,987800,0.0,0.0,AME
2018-09-27,77.09046403950546,77.41050423290805,76.52797789850905,76.54737091064453,652100,0.0,0.0,AME
2018-09-28,76.44068907843673,77.21654272951503,76.34370922182414,76.73163604736328,959200,0.0,0.0,AME
2018-10-01,77.26503958001672,77.5462863822188,76.91590612894447,77.3038330078125,1034600,0.0,0.0,AME
2018-10-02,77.41049249991754,77.75962585815022,77.15833898584108,77.27471923828125,687700,0.0,0.0,AME
2018-10-03,77.52686455409811,77.63354459111517,77.1195374131752,77.41048431396484,1071800,0.0,0.0,AME
